item_id,campaign_name,platform,placement,objective,funnel_stage,target_region,audience_type,primary_text,caption,headline,description,CTA,creative_prompt,landing_page,compliance_status,risk_level,review_notes,human_approval,landing_page_checked,approval_status,human_approved,can_publish_automatically,dry_run,date,content_pillar,format,hook,visual_direction,hashtags
sample-community-awareness-calendar-01-facebook,Sample Community Awareness,Facebook,Facebook post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event through a education angle. Keep the message useful, transparent, and aligned with Example Brand.","Explore Weekly wellness community event through a education angle. Keep the message useful, transparent, and aligned with Example Brand.",Education | Example Brand,14-day calendar idea for Facebook.,Learn More,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-12,Education,Facebook post,Education: Weekly wellness community event,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-01-instagram,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"Explore Weekly wellness community event through a education angle. Keep the message useful, transparent, and aligned with Example Brand.",Education | Example Brand,14-day calendar idea for Instagram.,Learn More,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-12,Education,Carousel,Education: Weekly wellness community event,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-02-facebook,Sample Community Awareness,Facebook,Facebook post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event through a community angle. Keep the message useful, transparent, and aligned with Example Brand.","Explore Weekly wellness community event through a community angle. Keep the message useful, transparent, and aligned with Example Brand.",Community | Example Brand,14-day calendar idea for Facebook.,Learn More,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-13,Community,Facebook post,Community: Weekly wellness community event,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-02-instagram,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"Explore Weekly wellness community event through a community angle. Keep the message useful, transparent, and aligned with Example Brand.",Community | Example Brand,14-day calendar idea for Instagram.,Learn More,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-13,Community,Carousel,Community: Weekly wellness community event,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-03-facebook,Sample Community Awareness,Facebook,Facebook post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event through a behind the scenes angle. Keep the message useful, transparent, and aligned with Example Brand.","Explore Weekly wellness community event through a behind the scenes angle. Keep the message useful, transparent, and aligned with Example Brand.",Behind the scenes | Example Brand,14-day calendar idea for Facebook.,Learn More,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-14,Behind the scenes,Facebook post,Behind the scenes: Weekly wellness community event,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-03-instagram,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"Explore Weekly wellness community event through a behind the scenes angle. Keep the message useful, transparent, and aligned with Example Brand.",Behind the scenes | Example Brand,14-day calendar idea for Instagram.,Learn More,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-14,Behind the scenes,Carousel,Behind the scenes: Weekly wellness community event,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-04-facebook,Sample Community Awareness,Facebook,Facebook post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event through a offer context angle. Keep the message useful, transparent, and aligned with Example Brand.","Explore Weekly wellness community event through a offer context angle. Keep the message useful, transparent, and aligned with Example Brand.",Offer context | Example Brand,14-day calendar idea for Facebook.,Learn More,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-15,Offer context,Facebook post,Offer context: Weekly wellness community event,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-04-instagram,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"Explore Weekly wellness community event through a offer context angle. Keep the message useful, transparent, and aligned with Example Brand.",Offer context | Example Brand,14-day calendar idea for Instagram.,Learn More,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-15,Offer context,Carousel,Offer context: Weekly wellness community event,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-05-facebook,Sample Community Awareness,Facebook,Facebook post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event through a faq angle. Keep the message useful, transparent, and aligned with Example Brand.","Explore Weekly wellness community event through a faq angle. Keep the message useful, transparent, and aligned with Example Brand.",FAQ | Example Brand,14-day calendar idea for Facebook.,Learn More,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-16,FAQ,Facebook post,FAQ: Weekly wellness community event,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-05-instagram,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"Explore Weekly wellness community event through a faq angle. Keep the message useful, transparent, and aligned with Example Brand.",FAQ | Example Brand,14-day calendar idea for Instagram.,Learn More,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-16,FAQ,Carousel,FAQ: Weekly wellness community event,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-06-facebook,Sample Community Awareness,Facebook,Facebook post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event through a trust and proof angle. Keep the message useful, transparent, and aligned with Example Brand.","Explore Weekly wellness community event through a trust and proof angle. Keep the message useful, transparent, and aligned with Example Brand.",Trust and proof | Example Brand,14-day calendar idea for Facebook.,Learn More,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-17,Trust and proof,Facebook post,Trust and proof: Weekly wellness community event,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-06-instagram,Sample Community Awareness,Instagram,Carousel,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events",,"Explore Weekly wellness community event through a trust and proof angle. Keep the message useful, transparent, and aligned with Example Brand.",Trust and proof | Example Brand,14-day calendar idea for Instagram.,Learn More,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-17,Trust and proof,Carousel,Trust and proof: Weekly wellness community event,"Carousel for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
sample-community-awareness-calendar-07-facebook,Sample Community Awareness,Facebook,Facebook post,Awareness,Awareness,Malaysia,"People interested in beginner-friendly wellness, social activities, and community events","Explore Weekly wellness community event through a lifestyle angle. Keep the message useful, transparent, and aligned with Example Brand.","Explore Weekly wellness community event through a lifestyle angle. Keep the message useful, transparent, and aligned with Example Brand.",Lifestyle | Example Brand,14-day calendar idea for Facebook.,Learn More,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",https://example.com,APPROVED_DRAFT,LOW,"No local pre-check issue was detected, but human review is still required.",NO,NO,NEEDS_HUMAN_APPROVAL,false,false,true,2026-07-18,Lifestyle,Facebook post,Lifestyle: Weekly wellness community event,"Facebook post for Example Brand: show Weekly wellness community event in a clear, authentic, non-exaggerated style with a friendly and professional tone. Avoid staged endorsements, fabricated reviews, transformation comparisons, and pressure-based urgency.",#ExampleBrand #CommunityLifestyle #Malaysia #WeeklyWellnessCommunityEvent #Community #Learnmore #Helpfulguide
